Legislator,Number of Bad Bills,Total Bad Bill Score
Rep. Gilliard,1,-3,H 3014 (-3)
Rep. Hixon,3,-4,H 3078 (-1), H 3433 (-1), H 3905 (-2)
Rep. Pope,4,-5,H 3091 (-1), H 3360 (-2), H 3425 (-1), H 4120 (-1)
Rep. Rutherford,1,-1,H 3144 (-1)
Rep. Dillard,1,-1,H 3203 (-1)
Rep. Moss,1,-4,H 3266 (-4)
Rep. Collins,1,-2,H 3295 (-2)
Rep. Haddon,3,-9,H 3312 (-1), H 3432 (-4), H 3951 (-4)
Rep. Taylor,1,-1,H 3467 (-1)
Rep. Gilliam,1,-1,H 3503 (-1)
Rep. Ott,2,-6,H 3514 (-5), H 3989 (-1)
Rep. Felder,2,-4,H 3518 (-2), H 3728 (-2)
Rep. Landing,1,-1,H 3557 (-1)
Rep. G.M. Smith,5,-7,H 3558 (-1), H 3726 (-2), H 4060 (-1), H 4087 (-1), H 4124 (-2)
Rep. Cobb-Hunter,1,-1,H 3563 (-1)
Rep. B.J. Cox,1,-1,H 3594 (-1)
Rep. Bannister,1,-2,H 3604 (-2)
Rep. Bernstein,1,-1,H 3686 (-1)
Rep. Chumley,1,-1,H 3732 (-1)
Rep. T. Moore,1,-3,H 3774 (-3)
Sen. Grooms,3,-6,S 474 (-3), S 39 (-2), S 648 (-1)
Rep. Lowe,1,-2,H 3786 (-2)
Rep. Hyde,1,-1,H 3799 (-1)
Rep. Elliott,1,-1,H 3811 (-1)
Rep. Kirby,1,-1,H 3867 (-1)
Rep. Bauer,1,-1,H 3868 (-1)
Rep. M.M. Smith,2,-2,H 3880 (-1), H 4231 (-1)
Rep. Gatch,1,-1,H 3882 (-1)
Rep. Blackwell,1,-1,H 3937 (-1)
Rep. Ballentine,1,-1,H 3948 (-1)
Rep. Forrest,2,-2,H 3960 (-1), H 4257 (-1)
Rep. W. Newton,1,-1,H 4020 (-1)
Rep. Crawford,3,-5,H 4048 (-3), H 4070 (-1), H 4100 (-1)
Rep. B. Newton,1,-3,H 4066 (-3)
Rep. Sandifer,1,-2,H 4086 (-2)
Rep. Weeks,1,-1,H 4118 (-1)
Rep. Pendarvis,1,-1,H 4158 (-1)
Rep. Erickson,2,-2,H 4319 (-1), H 4388 (-1)
Rep. S. Jones,1,-2,H 4383 (-2)
Sen. Hutto,1,-1,S 31 (-1)
Sen. Campsen,2,-2,S 96 (-1), S 406 (-1)
Sen. Fanning,2,-2,S 205 (-1), S 480 (-1)
Sen. Davis,1,-3,S 284 (-3)
Sen. Shealy,2,-2,S 380 (-1), S 397 (-1)
Sen. Cromer,1,-1,S 411 (-1)
Sen. Gambrell,1,-1,S 478 (-1)
Sen. Setzler,1,-2,S 520 (-2)
Sen. Peeler,1,-1,S 604 (-1)
